condition,n_hits,n_total,hit_pct,fwd_5d_avg,fwd_5d_median,fwd_5d_edge,fwd_5d_win,fwd_5d_t,fwd_5d_p,fwd_5d_bench,fwd_10d_avg,fwd_10d_median,fwd_10d_edge,fwd_10d_win,fwd_10d_t,fwd_10d_p,fwd_10d_bench,fwd_20d_avg,fwd_20d_median,fwd_20d_edge,fwd_20d_win,fwd_20d_t,fwd_20d_p,fwd_20d_bench,sharpe_20d,worst_20d,best_20d
RSI < 25 (Extreme Oversold),11761,493695,2.38,0.859,0.0,0.495,38.4,6.94,0.0,0.365,1.545,0.0,0.814,43.4,7.97,0.0,0.731,3.172,0.0,1.719,48.9,11.51,0.0,1.453,0.196,-81.05,157.89
RSI < 30 (Deep Oversold),21083,493695,4.27,0.951,0.0,0.6,44.8,12.14,0.0,0.351,1.674,0.0,0.964,48.9,13.76,0.0,0.71,2.923,0.92,1.493,52.9,15.06,0.0,1.43,0.203,-81.05,157.89
RSI < 35,40707,493695,8.25,0.834,0.0,0.499,48.0,15.46,0.0,0.335,1.448,0.273,0.76,50.8,16.64,0.0,0.688,2.414,0.957,1.003,53.7,15.59,0.0,1.411,0.186,-81.05,166.23
RSI < 40,79645,493695,16.13,0.713,0.0,0.401,48.8,18.9,0.0,0.312,1.186,0.308,0.519,51.1,17.26,0.0,0.667,1.87,0.672,0.449,52.7,10.69,0.0,1.422,0.158,-85.61,185.12
RSI 40-60 (Neutral),308845,493695,62.56,0.335,0.0,-0.111,44.2,-12.06,0.0,0.446,0.673,0.0,-0.207,46.3,-15.68,0.0,0.881,1.372,0.0,-0.326,48.7,-16.36,0.0,1.698,0.124,-84.36,547.92
RSI > 70 (Overbought),38510,493695,7.8,0.428,0.0,0.056,40.9,1.41,0.1599,0.372,0.904,0.0,0.166,44.5,3.0,0.0027,0.738,1.657,0.0,0.177,47.6,2.37,0.0176,1.48,0.113,-68.75,336.99
RSI > 75,22133,493695,4.48,0.504,0.0,0.134,38.5,2.39,0.0167,0.37,0.942,0.0,0.2,42.5,2.57,0.0103,0.742,1.5,0.0,0.006,45.4,0.06,0.9517,1.494,0.098,-60.07,284.74
RSI > 80 (Deep Overbought),11968,493695,2.42,0.608,0.0,0.237,36.2,2.89,0.0039,0.371,0.992,0.0,0.247,40.5,2.17,0.0298,0.745,1.165,0.0,-0.338,43.2,-2.36,0.0181,1.502,0.075,-60.07,263.64
ADX > 25 (Trending),226584,493695,45.9,0.487,0.0,0.205,44.3,15.92,0.0,0.282,0.938,0.0,0.346,46.9,18.8,0.0,0.592,1.693,0.0,0.368,49.3,13.59,0.0,1.325,0.131,-81.05,547.92
ADX > 30,156751,493695,31.75,0.499,0.0,0.179,43.5,11.21,0.0,0.32,0.963,0.0,0.31,46.3,13.57,0.0,0.652,1.763,0.0,0.395,49.0,11.54,0.0,1.369,0.13,-72.08,547.92
